Year,State,Type,Value,Quantity
1995,PARANA,Cedulas - 1a. familia,50,237
1995,RIO.DE.JANEIRO,Cedulas - 1a. familia,50,3
1995,RIO.DE.JANEIRO,Cedulas - 1a. familia,100,1
1995,SAO.PAULO,Cedulas - 1a. familia,100,1
1996,DISTRITO.FEDERAL,Cedulas - 1a. familia,50,1
1996,DISTRITO.FEDERAL,Cedulas - 1a. familia,100,1
1996,MINAS.GERAIS,Cedulas - 1a. familia,50,4
1996,MINAS.GERAIS,Cedulas - 1a. familia,100,1
1996,PARANA,Cedulas - 1a. familia,50,4
1996,PARANA,Cedulas - 1a. familia,100,12
1996,PERNAMBUCO,Cedulas - 1a. familia,50,2
1996,PERNAMBUCO,Cedulas - 1a. familia,100,1
1996,RIO.DE.JANEIRO,Cedulas - 1a. familia,5,2
1996,RIO.DE.JANEIRO,Cedulas - 1a. familia,10,6087
1996,RIO.DE.JANEIRO,Cedulas - 1a. familia,50,7988
1996,RIO.DE.JANEIRO,Cedulas - 1a. familia,100,2311
1996,RIO.GRANDE.DO.SUL,Cedulas - 1a. familia,10,1
1996,RIO.GRANDE.DO.SUL,Cedulas - 1a. familia,50,2
1996,RIO.GRANDE.DO.SUL,Cedulas - 1a. familia,100,2
1996,RONDONIA,Cedulas - 1a. familia,100,2
1997,AMAPA,Cedulas - 1a. familia,100,1
1997,BAHIA,Cedulas - 1a. familia,5,2
1997,BAHIA,Cedulas - 1a. familia,10,49
1997,BAHIA,Cedulas - 1a. familia,50,14
1997,BAHIA,Cedulas - 1a. familia,100,27
1997,CEARA,Cedulas - 1a. familia,10,20
1997,CEARA,Cedulas - 1a. familia,50,28
1997,CEARA,Cedulas - 1a. familia,100,1
1997,DISTRITO.FEDERAL,Cedulas - 1a. familia,10,19
1997,DISTRITO.FEDERAL,Cedulas - 1a. familia,50,22
1997,DISTRITO.FEDERAL,Cedulas - 1a. familia,100,12
1997,GOIAS,Cedulas - 1a. familia,10,4
1997,GOIAS,Cedulas - 1a. familia,50,1
1997,MATO.GROSSO.DO.SUL,Cedulas - 1a. familia,50,8
1997,MINAS.GERAIS,Cedulas - 1a. familia,50,35
1997,MINAS.GERAIS,Cedulas - 1a. familia,100,58
1997,PARANA,Cedulas - 1a. familia,50,4
1997,PARANA,Cedulas - 1a. familia,100,1
1997,PERNAMBUCO,Cedulas - 1a. familia,50,8
1997,PERNAMBUCO,Cedulas - 1a. familia,100,4
1997,RIO.DE.JANEIRO,Cedulas - 1a. familia,5,180
1997,RIO.DE.JANEIRO,Cedulas - 1a. familia,10,16
1997,RIO.DE.JANEIRO,Cedulas - 1a. familia,50,33
1997,RIO.DE.JANEIRO,Cedulas - 1a. familia,100,73
1997,RIO.GRANDE.DO.SUL,Cedulas - 1a. familia,100,1
1997,RONDONIA,Cedulas - 1a. familia,100,1
1997,SAO.PAULO,Cedulas - 1a. familia,50,1
1997,TOCANTINS,Cedulas - 1a. familia,100,1
1998,AMAPA,Cedulas - 1a. familia,50,79
1998,AMAZONAS,Cedulas - 1a. familia,5,13
1998,AMAZONAS,Cedulas - 1a. familia,10,1
1998,AMAZONAS,Cedulas - 1a. familia,50,364
1998,AMAZONAS,Cedulas - 1a. familia,100,3
1998,CEARA,Cedulas - 1a. familia,5,5
1998,CEARA,Cedulas - 1a. familia,10,26
1998,CEARA,Cedulas - 1a. familia,50,69
1998,CEARA,Cedulas - 1a. familia,100,49
1998,DISTRITO.FEDERAL,Cedulas - 1a. familia,100,1
1998,ESPIRITO.SANTO,Cedulas - 1a. familia,10,918
1998,ESPIRITO.SANTO,Cedulas - 1a. familia,50,55
1998,GOIAS,Cedulas - 1a. familia,10,83
1998,GOIAS,Cedulas - 1a. familia,100,1
1998,MATO.GROSSO,Cedulas - 1a. familia,10,1
1998,MATO.GROSSO,Cedulas - 1a. familia,50,6
1998,MINAS.GERAIS,Cedulas - 1a. familia,10,42
1998,MINAS.GERAIS,Cedulas - 1a. familia,50,22
1998,MINAS.GERAIS,Cedulas - 1a. familia,100,7
1998,PARA,Cedulas - 1a. familia,50,1
1998,PARANA,Cedulas - 1a. familia,10,475
1998,PARANA,Cedulas - 1a. familia,50,338
1998,PARANA,Cedulas - 1a. familia,100,3
1998,PERNAMBUCO,Cedulas - 1a. familia,10,689
1998,PERNAMBUCO,Cedulas - 1a. familia,50,3
1998,PERNAMBUCO,Cedulas - 1a. familia,100,1
1998,PIAUI,Cedulas - 1a. familia,50,6
1998,PIAUI,Cedulas - 1a. familia,100,1
1998,RIO.DE.JANEIRO,Cedulas - 1a. familia,5,13
1998,RIO.DE.JANEIRO,Cedulas - 1a. familia,10,223
1998,RIO.DE.JANEIRO,Cedulas - 1a. familia,50,220
1998,RIO.DE.JANEIRO,Cedulas - 1a. familia,100,627
1998,RIO.GRANDE.DO.NORTE,Cedulas - 1a. familia,10,3
1998,RIO.GRANDE.DO.SUL,Cedulas - 1a. familia,50,3
1998,RIO.GRANDE.DO.SUL,Cedulas - 1a. familia,100,3
1998,RONDONIA,Cedulas - 1a. familia,50,6
1998,RONDONIA,Cedulas - 1a. familia,100,4
1998,SANTA.CATARINA,Cedulas - 1a. familia,5,32
1998,SANTA.CATARINA,Cedulas - 1a. familia,10,1016
1998,SANTA.CATARINA,Cedulas - 1a. familia,50,791
1998,SANTA.CATARINA,Cedulas - 1a. familia,100,347
1998,SAO.PAULO,Cedulas - 1a. familia,5,9
1998,SAO.PAULO,Cedulas - 1a. familia,10,35
1998,SAO.PAULO,Cedulas - 1a. familia,50,207
1998,SAO.PAULO,Cedulas - 1a. familia,100,56
1998,TOCANTINS,Cedulas - 1a. familia,50,11
1998,TOCANTINS,Cedulas - 1a. familia,100,6
1999,ACRE,Cedulas - 1a. familia,10,10
1999,ACRE,Cedulas - 1a. familia,50,49
1999,ACRE,Cedulas - 1a. familia,100,2
1999,ALAGOAS,Cedulas - 1a. familia,5,11
1999,ALAGOAS,Cedulas - 1a. familia,10,67
1999,ALAGOAS,Cedulas - 1a. familia,50,105
1999,ALAGOAS,Cedulas - 1a. familia,100,3
1999,AMAPA,Cedulas - 1a. familia,10,46
1999,AMAPA,Cedulas - 1a. familia,50,5
1999,AMAZONAS,Cedulas - 1a. familia,5,5
1999,AMAZONAS,Cedulas - 1a. familia,10,41
1999,AMAZONAS,Cedulas - 1a. familia,50,136
1999,AMAZONAS,Cedulas - 1a. familia,100,121
1999,BAHIA,Cedulas - 1a. familia,5,83
1999,BAHIA,Cedulas - 1a. familia,10,570
1999,BAHIA,Cedulas - 1a. familia,50,164
1999,BAHIA,Cedulas - 1a. familia,100,8
1999,CEARA,Cedulas - 1a. familia,5,45
1999,CEARA,Cedulas - 1a. familia,10,90
1999,CEARA,Cedulas - 1a. familia,50,136
1999,CEARA,Cedulas - 1a. familia,100,9
1999,DISTRITO.FEDERAL,Cedulas - 1a. familia,5,68
1999,DISTRITO.FEDERAL,Cedulas - 1a. familia,10,113
1999,DISTRITO.FEDERAL,Cedulas - 1a. familia,50,4505
1999,DISTRITO.FEDERAL,Cedulas - 1a. familia,100,827
1999,ESPIRITO.SANTO,Cedulas - 1a. familia,5,18
1999,ESPIRITO.SANTO,Cedulas - 1a. familia,10,252
1999,ESPIRITO.SANTO,Cedulas - 1a. familia,50,582
1999,ESPIRITO.SANTO,Cedulas - 1a. familia,100,9
1999,GOIAS,Cedulas - 1a. familia,5,59
1999,GOIAS,Cedulas - 1a. familia,10,532
