YEAR,BRASIL,RONDONIA,ACRE,AMAZONAS,RORAIMA,PARA,AMAPA,TOCANTINS,MARANHAO,PIAUI,CEARA,RIO GRANDE DO NORTE,PARAIBA,PERNAMBUCO,ALAGOAS,SERGIPE,BAHIA,MINAS GERAIS,ESPIRITO SANTO,RIO DE JANEIRO,SAO PAULO,PARANA,SANTA CATARINA,RIO GRANDE DO SUL,MATO GROSSO DO SUL,MATO GROSSO,GOIAS,DISTRITO FEDERAL
2001,172385826,1407886,574355,2900240,337237,6341736,498735,1184895,5730467,2873010,7547620,2815244,3468594,8008207,2856629,1817301,13214114,18127096,3155016,14558545,37630106,9694709,5448736,10309819,2111036,2560584,5116462,2097447
2002,174632960,1431777,586942,2961801,346871,6453683,516511,1207014,5803224,2898223,7654535,2852784,3494893,8084667,2887535,1846039,13323212,18343517,3201722,14724475,38177742,9798006,5527707,10408540,2140624,2604742,5210335,2145839
2003,176871437,1455907,600595,3031068,357302,6574993,534835,1230181,5873655,2923725,7758441,2888058,3518595,8161862,2917664,1874613,13435612,18553312,3250219,14879118,38709320,9906866,5607233,10510992,2169688,2651335,5306459,2189789
2004,181569056,1562085,630328,3138726,381896,6850181,547400,1262644,6021504,2974698,7976563,2962107,3568350,8323911,2980910,1934596,13682074,18993720,3352024,15203750,39825226,10135388,5774178,10726063,2227794,2742646,5508245,2282049
2005,184184264,1534594,669736,3232330,391317,6970586,594587,1305728,6103327,3006885,8097276,3003087,3595886,8413593,3015912,1967791,13815334,19237450,3408365,15383407,40442795,10261856,5866568,10845087,2264468,2803274,5619917,2333108
2006,186770562,1562417,686652,3311026,403344,7110465,615715,1332441,6184538,3036290,8217085,3043760,3623215,8502603,3050652,2000738,13950146,19479356,3464285,15561720,41055734,10387378,5958266,10963219,2297981,2856999,5730753,2383784
2008,189605006,1493565,680075,3341094,412783,7321490,613166,1280513,6305537,3111881,8450528,3106436,3742604,8734196,3127560,1999374,14502563,19850060,3453646,15872362,41011638,10590171,6052587,10855228,2336060,2957735,5844995,2557159
2009,191480630,1503928,691132,3393369,421499,7431020,626609,1292051,6367138,3145325,8547809,3137541,3769977,8810256,3156108,2019679,14637364,20033665,3487199,16010429,41384039,10686247,6118743,10914128,2360498,3001692,5926300,2606885
2011,192379287,1576455,746386,3538387,460165,7688593,684309,1400892,6645761,3140328,8530155,3198657,3791315,8864906,3143384,2089819,14097534,19728701,3547055,16112678,41587182,10512349,6317054,10733030,2477542,3075936,6080716,2609998
2012,193904015,1590011,758786,3590985,469524,7777543,698602,1417694,6714314,3160748,8606005,3228198,3815171,8931028,3165472,2110867,14175341,19855332,3578067,16231365,41901219,10577755,6362734,10768025,2500365,3115336,6154996,2648532
2013,201032714,1728214,776463,3807921,488072,7969654,734996,1478164,6794301,3184166,8778576,3373959,3914421,9208550,3300935,2195662,15044137,20593356,3839366,16369179,43663669,10997465,6634254,11164043,2587269,3182113,6434048,2789761
2014,202768562,1748531,790101,3873743,496936,8073924,750912,1496880,6850884,3194718,8842791,3408510,3943885,9277727,3321730,2219574,15126371,20734097,3885049,16461173,44035304,11081692,6727148,11207274,2619657,3224357,6523222,2852372
2015,204450049,1768204,803513,3938336,505665,8175113,766679,1515126,6904241,3204028,8904459,3442175,3972202,9345173,3340932,2242937,15203334,20869101,3929911,16550024,44396484,11163018,6819190,11247972,2651235,3265486,6610681,2914830
2016,206081432,1787279,816687,4001667,514229,8272724,782295,1532902,6954036,3212180,8963663,3474998,3999415,9410336,3358963,2265779,15276566,20997560,3973697,16635996,44749699,11242720,6910553,11286500,2682386,3305531,6695855,2977216
2017,207660929,1805788,829619,4063614,522636,8366628,797722,1550194,7000229,3219257,9020460,3507003,4025558,9473266,3375823,2288116,15344447,21119536,4016356,16718956,45094866,11320892,7001161,11322895,2713147,3344544,6778772,3039444
2018,208494900,1757589,869265,4080611,576568,8513497,829494,1555229,7035055,3264531,9075649,3479010,3996496,9496294,3322820,2278308,14812617,21040662,3972388,17159960,45538936,11348937,7075494,11329605,2748023,3441998,6921161,2974703
2019,210147125,1777225,881935,4144597,605761,8602865,845731,1572866,7075181,3273227,9132078,3506853,4018127,9557071,3337357,2298696,14873064,21168791,4018650,17264943,45919049,11433957,7164788,11377239,2778986,3484466,7018354,3015268
2020,211755692,1796460,894470,4207714,631181,8690745,861773,1590248,7114598,3281480,9187103,3534165,4039277,9616621,3351543,2318822,14930634,21292666,4064052,17366189,46289333,11516840,7252502,11422973,2809394,3526220,7113540,3055149
2021,213317639,1815278,906876,4269995,652713,8777124,877613,1607363,7153262,3289290,9240580,3560903,4059905,9674793,3365351,2338474,14985284,21411923,4108508,17463349,46649132,11597484,7338473,11466630,2839188,3567234,7206589,3094325
